"Certified","Person","Date"
"2013-11-17",77,"2014-04-14"
"2013-11-17",77,"2014-06-24"
"2013-11-17",77,"2014-09-24"
"2013-11-17",77,"2014-10-06"
"2013-11-17",77,"2014-11-07"
"2013-11-17",77,"2015-01-08"
"2013-11-17",77,"2015-01-29"
"2013-11-17",77,"2015-03-23"
"2013-11-17",77,"2015-04-01"
"2013-11-17",77,"2015-06-15"
"2013-11-17",77,"2015-08-27"
"2013-11-17",77,"2015-11-11"
"2013-11-17",77,"2016-01-11"
"2013-11-17",77,"2016-01-13"
"2013-11-17",77,"2016-03-07"
"2013-11-17",77,"2016-04-12"
"2013-11-17",78,"2014-03-17"
"2013-11-17",78,"2014-04-29"
"2013-11-17",78,"2014-06-26"
"2013-11-17",78,"2014-07-24"
"2013-11-17",78,"2014-09-11"
"2013-11-17",78,"2015-01-27"
"2013-11-17",78,"2015-04-18"
"2013-11-17",78,"2016-02-22"
"2013-11-17",78,"2016-03-07"
"2013-11-17",79,"2013-04-04"
"2013-11-17",79,"2013-09-27"
"2013-11-17",79,"2013-10-24"
"2013-11-17",79,"2014-02-18"
"2013-11-17",79,"2014-05-19"
"2013-11-17",79,"2015-02-25"
"2013-11-17",80,"2014-01-18"
"2013-11-17",80,"2014-03-17"
"2013-11-17",80,"2014-12-16"
"2013-11-17",81,"2013-02-14"
"2013-11-17",81,"2013-11-25"
"2013-11-17",81,"2014-02-10"
"2013-11-17",81,"2014-03-18"
"2013-11-17",81,"2014-06-02"
"2013-11-17",81,"2014-07-30"
"2013-11-17",81,"2014-08-18"
"2013-11-17",81,"2014-09-15"
"2013-11-17",81,"2014-12-08"
"2013-11-17",81,"2015-02-16"
"2013-11-17",81,"2015-02-16"
"2013-11-17",81,"2015-02-16"
"2013-11-17",81,"2015-05-25"
"2013-11-17",81,"2015-07-13"
"2013-11-17",82,"2014-02-22"
"2013-11-17",82,"2014-03-17"
"2013-11-17",82,"2014-04-09"
"2013-11-17",82,"2014-06-25"
"2013-11-17",82,"2014-07-28"
"2013-11-17",82,"2015-01-05"
"2013-11-17",82,"2015-05-11"
"2013-11-17",82,"2015-06-03"
"2013-11-17",82,"2015-08-26"
"2013-11-17",82,"2015-12-07"
"2013-11-17",82,"2016-01-05"
"2013-11-17",82,"2016-01-14"
"2013-11-17",82,"2016-04-25"
"2013-11-17",83,"2015-01-10"
"2013-11-17",84,"2014-04-14"
"2013-11-17",85,"2014-03-17"
"2013-11-17",85,"2014-06-20"
"2013-11-17",85,"2014-10-11"
"2013-11-17",86,"2015-09-07"
"2013-11-17",86,"2016-02-17"
"2013-11-17",87,"2014-04-29"
"2013-11-17",87,"2014-07-23"
"2013-11-17",88,"2014-05-12"
"2013-11-17",88,"2014-08-18"
"2013-11-17",88,"2014-08-28"
"2013-11-17",88,"2014-09-01"
"2013-11-17",88,"2014-09-04"
"2013-11-17",88,"2014-12-11"
"2013-11-17",88,"2015-05-30"
"2013-11-17",88,"2015-06-19"
"2013-11-17",88,"2015-09-10"
"2013-11-17",89,"2013-05-09"
"2013-11-17",89,"2014-01-14"
"2013-11-17",89,"2014-11-27"
"2013-11-17",89,"2016-01-26"
"2013-11-17",90,"2013-12-03"
"2013-11-17",91,"2013-10-29"
"2013-11-17",91,"2014-08-23"
"2013-11-17",91,"2015-11-16"
"2013-11-17",91,"2016-02-22"
"2013-11-25",92,"2014-05-12"
"2013-11-25",92,"2015-03-20"
"2013-11-25",92,"2015-09-08"
"2013-11-25",92,"2015-11-05"
"2013-11-25",93,"2014-04-09"
"2013-11-25",93,"2014-06-20"
"2013-11-25",93,"2014-06-24"
"2013-11-25",93,"2014-07-08"
"2013-11-25",93,"2014-10-11"
"2013-11-25",93,"2014-12-18"
"2013-11-25",93,"2015-05-26"
"2013-11-25",93,"2016-01-03"
"2013-11-25",94,"2013-06-17"
"2013-11-25",94,"2013-09-19"
"2013-11-25",94,"2014-07-08"
"2013-11-25",94,"2014-09-18"
"2013-11-25",94,"2015-01-15"
"2013-11-25",94,"2015-06-22"
"2013-11-25",94,"2015-09-15"
"2013-11-25",95,"2013-05-30"
"2013-11-25",95,"2014-07-10"
"2013-11-25",95,"2014-07-15"
"2013-11-25",95,"2014-08-06"
"2013-11-25",95,"2014-12-14"
"2013-11-25",95,"2015-05-30"
"2013-11-25",95,"2015-07-09"
"2013-11-25",95,"2015-08-27"
"2013-11-25",95,"2015-11-04"
"2013-11-25",96,"2014-04-14"
"2013-11-25",96,"2015-01-05"
"2013-11-25",96,"2016-01-14"
"2013-12-05",97,"2014-06-16"
"2013-12-05",98,"2014-10-13"
"2013-12-05",98,"2015-11-05"
"2014-04-19",99,"2014-03-10"
"2014-04-19",99,"2015-07-22"
"2014-05-04",100,"2014-09-11"
"2014-05-04",101,"2014-10-30"
"2014-05-04",101,"2015-05-11"
"2014-05-04",101,"2015-06-25"
"2014-05-04",101,"2016-01-09"
"2014-05-04",102,"2014-02-11"
"2014-05-04",102,"2014-10-06"
"2014-05-04",103,"2014-02-22"
"2014-05-04",104,"2014-04-03"
"2014-05-04",104,"2014-06-10"
"2014-05-04",104,"2014-06-15"
"2014-05-04",104,"2014-11-12"
"2014-05-04",104,"2015-06-15"
"2014-05-04",104,"2015-11-04"
"2014-05-04",105,"2015-05-19"
"2014-05-04",106,"2014-06-04"
"2014-05-04",106,"2015-06-02"
"2014-05-04",106,"2015-07-27"
"2014-05-04",107,"2015-08-10"
"2014-05-04",108,"2015-01-27"
"2014-05-04",108,"2015-09-15"
"2014-05-04",109,"2014-04-14"
"2014-05-04",109,"2014-04-14"
"2014-05-04",109,"2014-11-06"
"2014-05-04",109,"2015-01-10"
"2014-05-04",110,"2014-04-02"
"2014-05-04",110,"2014-06-16"
"2014-05-04",110,"2014-09-22"
"2014-05-04",110,"2014-10-22"
"2014-05-04",110,"2014-11-12"
"2014-05-04",110,"2015-01-06"
